request_id,timestamp,latency_sec,bytes_sent,http_status,outcome,error_type
326,13:21:55.996912,2.1457,0,0,failed,ConnectionRefusedError
338,13:21:55.997126,2.1447,0,0,failed,ConnectionRefusedError
337,13:21:55.997460,2.145,0,0,failed,ConnectionRefusedError
340,13:21:55.997802,2.145,0,0,failed,ConnectionRefusedError
342,13:21:55.998086,2.1452,0,0,failed,ConnectionRefusedError
332,13:21:55.998386,2.1465,0,0,failed,ConnectionRefusedError
331,13:21:55.998589,2.1469,0,0,failed,ConnectionRefusedError
341,13:21:55.998825,2.1461,0,0,failed,ConnectionRefusedError
343,13:21:55.999109,2.1461,0,0,failed,ConnectionRefusedError
344,13:21:55.999306,2.1462,0,0,failed,ConnectionRefusedError
349,13:21:55.999492,2.146,0,0,failed,ConnectionRefusedError
335,13:21:55.999646,2.1475,0,0,failed,ConnectionRefusedError
347,13:21:55.999913,2.1465,0,0,failed,ConnectionRefusedError
348,13:21:56.000156,2.1466,0,0,failed,ConnectionRefusedError
336,13:21:56.000386,2.1481,0,0,failed,ConnectionRefusedError
353,13:21:56.000689,2.1466,0,0,failed,ConnectionRefusedError
355,13:21:56.001080,2.1467,0,0,failed,ConnectionRefusedError
354,13:21:56.001364,2.1472,0,0,failed,ConnectionRefusedError
346,13:21:56.001539,2.1483,0,0,failed,ConnectionRefusedError
357,13:21:56.001752,2.1474,0,0,failed,ConnectionRefusedError
345,13:21:56.001972,2.1488,0,0,failed,ConnectionRefusedError
358,13:21:56.002193,2.1477,0,0,failed,ConnectionRefusedError
339,13:21:56.002379,2.1498,0,0,failed,ConnectionRefusedError
360,13:21:56.002545,2.1479,0,0,failed,ConnectionRefusedError
359,13:21:56.002757,2.1482,0,0,failed,ConnectionRefusedError
366,13:21:56.002927,2.1477,0,0,failed,ConnectionRefusedError
352,13:21:56.003082,2.1492,0,0,failed,ConnectionRefusedError
364,13:21:56.005961,2.1482,0,0,failed,ConnectionRefusedError
351,13:21:56.006457,2.1525,0,0,failed,ConnectionRefusedError
363,13:21:56.006687,2.1517,0,0,failed,ConnectionRefusedError
350,13:21:56.006901,2.1532,0,0,failed,ConnectionRefusedError
371,13:21:56.007086,2.1513,0,0,failed,ConnectionRefusedError
369,13:21:56.007280,2.1517,0,0,failed,ConnectionRefusedError
372,13:21:56.007482,2.1516,0,0,failed,ConnectionRefusedError
362,13:21:56.007714,2.1528,0,0,failed,ConnectionRefusedError
368,13:21:56.007888,2.1524,0,0,failed,ConnectionRefusedError
356,13:21:56.008080,2.1538,0,0,failed,ConnectionRefusedError
382,13:21:56.008277,2.1514,0,0,failed,ConnectionRefusedError
376,13:21:56.008451,2.1522,0,0,failed,ConnectionRefusedError
381,13:21:56.008643,2.1519,0,0,failed,ConnectionRefusedError
377,13:21:56.008897,2.1526,0,0,failed,ConnectionRefusedError
373,13:21:56.009132,2.1532,0,0,failed,ConnectionRefusedError
365,13:21:56.009292,2.1542,0,0,failed,ConnectionRefusedError
387,13:21:56.009449,2.1501,0,0,failed,ConnectionRefusedError
388,13:21:56.009596,2.1501,0,0,failed,ConnectionRefusedError
385,13:21:56.009771,2.1527,0,0,failed,ConnectionRefusedError
367,13:21:56.009941,2.1546,0,0,failed,ConnectionRefusedError
361,13:21:56.010117,2.1553,0,0,failed,ConnectionRefusedError
384,13:21:56.010282,2.1533,0,0,failed,ConnectionRefusedError
380,13:21:56.010427,2.1538,0,0,failed,ConnectionRefusedError
370,13:21:56.010602,2.155,0,0,failed,ConnectionRefusedError
398,13:21:56.010825,2.1501,0,0,failed,ConnectionRefusedError
397,13:21:56.011037,2.1504,0,0,failed,ConnectionRefusedError
392,13:21:56.011219,2.1512,0,0,failed,ConnectionRefusedError
374,13:21:56.011414,2.1554,0,0,failed,ConnectionRefusedError
378,13:21:56.011560,2.1552,0,0,failed,ConnectionRefusedError
389,13:21:56.011726,2.1521,0,0,failed,ConnectionRefusedError
393,13:21:56.011858,2.1518,0,0,failed,ConnectionRefusedError
375,13:21:56.012014,2.1559,0,0,failed,ConnectionRefusedError
401,13:21:56.012171,2.1512,0,0,failed,ConnectionRefusedError
403,13:21:56.012329,2.1511,0,0,failed,ConnectionRefusedError
402,13:21:56.012497,2.1514,0,0,failed,ConnectionRefusedError
383,13:21:56.012664,2.1558,0,0,failed,ConnectionRefusedError
379,13:21:56.012840,2.1563,0,0,failed,ConnectionRefusedError
406,13:21:56.012986,2.1515,0,0,failed,ConnectionRefusedError
396,13:21:56.013152,2.1527,0,0,failed,ConnectionRefusedError
408,13:21:56.013288,2.1516,0,0,failed,ConnectionRefusedError
386,13:21:56.013445,2.1544,0,0,failed,ConnectionRefusedError
414,13:21:56.013577,2.1512,0,0,failed,ConnectionRefusedError
390,13:21:56.013743,2.1541,0,0,failed,ConnectionRefusedError
394,13:21:56.013882,2.1537,0,0,failed,ConnectionRefusedError
399,13:21:56.014025,2.1533,0,0,failed,ConnectionRefusedError
411,13:21:56.014150,2.1521,0,0,failed,ConnectionRefusedError
418,13:21:56.014295,2.1515,0,0,failed,ConnectionRefusedError
420,13:21:56.014509,2.1514,0,0,failed,ConnectionRefusedError
391,13:21:56.014668,2.1548,0,0,failed,ConnectionRefusedError
395,13:21:56.014875,2.1545,0,0,failed,ConnectionRefusedError
